epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,56.0922,1.09278,4.89626,0.01588,0.8953,0.1221,0.31857,0.21902,1.05065,3.50163,0.01434,0.0098913,0.0032971,0.0098913,0.0032971,0.0098913,0.0032971,0.0098913,0.0032971
2,88.1753,1.11113,3.40612,0.0159,0.62733,0.49171,0.54337,0.36148,1.10772,1.81803,0.0152,0.0198374,0.00661246,0.0198374,0.00661246,0.0198374,0.00661246,0.0198374,0.00661246
3,112.967,1.19867,2.4067,0.01741,0.68276,0.51935,0.59571,0.36681,1.29254,1.61549,0.01831,0.029568,0.00985599,0.029568,0.00985599,0.029568,0.00985599,0.029568,0.00985599
4,134.802,1.22352,1.92548,0.01835,0.68256,0.5424,0.63495,0.39186,1.28151,1.48667,0.0183,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
5,156.911,1.23172,1.62636,0.0182,0.70472,0.56839,0.66138,0.42777,1.24551,1.37207,0.01774,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
6,178.54,1.21572,1.42574,0.01765,0.68456,0.58695,0.66346,0.42358,1.28054,1.44439,0.01882,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
7,200.389,1.19033,1.33943,0.0175,0.67598,0.66404,0.69641,0.44492,1.29982,1.29004,0.0185,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
8,222.035,1.17326,1.21153,0.017,0.71592,0.65292,0.72532,0.46671,1.28288,1.20441,0.01872,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
9,244.209,1.16448,1.17275,0.01706,0.73432,0.6812,0.72096,0.46275,1.34257,1.23149,0.01948,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
10,266.111,1.17253,1.13549,0.01692,0.74913,0.6344,0.72038,0.462,1.32476,1.25487,0.01841,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
11,288.236,1.14222,1.10934,0.01638,0.74868,0.62999,0.69775,0.45807,1.26585,1.3328,0.01762,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
12,309.9,1.09857,1.02516,0.0157,0.74319,0.65924,0.74097,0.477,1.30828,1.24391,0.01905,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
13,331.983,1.09452,1.02299,0.01558,0.73413,0.68585,0.73916,0.48534,1.30807,1.19983,0.01842,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
14,354.045,1.10877,1.05461,0.01586,0.72796,0.68864,0.7315,0.49246,1.20995,1.20597,0.0171,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
15,376.14,1.07868,0.99694,0.01524,0.72824,0.70119,0.74901,0.4968,1.24736,1.12853,0.01776,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
16,398.149,1.04707,0.9309,0.01469,0.77795,0.68802,0.7467,0.49536,1.23588,1.22688,0.01761,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,419.917,1.0268,0.91448,0.01452,0.76819,0.68298,0.74506,0.49591,1.2345,1.23467,0.01792,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
18,442.086,1.00124,0.91004,0.01388,0.78316,0.68283,0.76353,0.51098,1.2302,1.164,0.01745,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
19,463.941,0.99858,0.8696,0.01398,0.78106,0.68062,0.75285,0.51297,1.18553,1.21994,0.01664,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
20,485.661,0.98711,0.86863,0.01392,0.79455,0.6728,0.74762,0.51292,1.18212,1.20421,0.01664,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665
21,508.526,0.78771,0.44166,0.01487,0.80537,0.67112,0.75466,0.52244,1.1896,1.26245,0.01669,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
22,530.043,0.75467,0.42137,0.01391,0.75271,0.67455,0.75576,0.52886,1.17396,1.2709,0.01665,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
23,551.507,0.71641,0.39997,0.01337,0.78068,0.68058,0.7568,0.52269,1.18761,1.18575,0.01674,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378
24,573.025,0.69388,0.35247,0.01266,0.80327,0.65995,0.75402,0.52704,1.16326,1.29399,0.01633,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143
25,594.615,0.66545,0.33453,0.01224,0.79218,0.67785,0.76201,0.52829,1.18663,1.27508,0.01668,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
26,615.974,0.67885,0.34536,0.01246,0.79941,0.67808,0.76673,0.53339,1.16199,1.25526,0.0163,0.00228952,0.000763174,0.00228952,0.000763174,0.00228952,0.000763174,0.00228952,0.000763174
27,637.385,0.66123,0.33375,0.01189,0.80517,0.6727,0.76819,0.53718,1.15975,1.28031,0.01637,0.00158385,0.00052795,0.00158385,0.00052795,0.00158385,0.00052795,0.00158385,0.00052795
28,658.885,0.64914,0.3216,0.01166,0.78961,0.68455,0.76461,0.53859,1.15647,1.30221,0.01627,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
29,680.514,0.64248,0.32287,0.01157,0.79314,0.67889,0.76273,0.53512,1.1608,1.29231,0.0163,0.000624508,0.000208169,0.000624508,0.000208169,0.000624508,0.000208169,0.000624508,0.000208169
30,701.989,0.63658,0.31886,0.01152,0.78951,0.68086,0.763,0.53518,1.16321,1.30309,0.01633,0.00038135,0.000127117,0.00038135,0.000127117,0.00038135,0.000127117,0.00038135,0.000127117
31,45.314,1.13158,1.47818,0.01654,0.77933,0.59693,0.70025,0.49207,1.20913,1.66064,0.01697,0.000494565,0.000164855,0.000494565,0.000164855,0.000494565,0.000164855,0.000494565,0.000164855
32,80.2528,1.02353,1.07614,0.01448,0.79079,0.60816,0.7203,0.49927,1.19208,1.4671,0.01667,0.000994069,0.000331356,0.000994069,0.000331356,0.000994069,0.000331356,0.000994069,0.000331356
33,110.091,0.99925,1.02048,0.01407,0.75874,0.6578,0.72783,0.51156,1.17556,1.40598,0.01646,0.00149159,0.000497196,0.00149159,0.000497196,0.00149159,0.000497196,0.00149159,0.000497196
